	icd9_code	short_title	long_title	count
1549	41061	True post infarct, init	True posterior wall infarction, initial episode of care	36
1550	95901	Head injury NOS	Head injury, unspecified	36
1551	72610	Rotator cuff synd NOS	Disorders of bursae and tendons in shoulder region, unspecified	36
1552	1980	Second malig neo kidney	Secondary malignant neoplasm of kidney	36
1553	5302			36
1554	78907	Abdmnal pain generalized	Abdominal pain, generalized	36
1555	78652	Painful respiration	Painful respiration	36
1556	E9682	Assault-striking w obj	Assault by striking by blunt or thrown object	36
1557	27503	Hemochromatosis NEC	Other hemochromatosis	36
1558	E8785	Abn react-limb amputat	Amputation of limb(s) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation	36
1559	1579	Malig neo pancreas NOS	Malignant neoplasm of pancreas, part unspecified	36
1560	29411	Dementia w behavior dist	Dementia in conditions classified elsewhere with behavioral disturbance	36
1561	37430	Ptosis of eyelid NOS	Ptosis of eyelid, unspecified	36
1562	7483	Laryngotrach anomaly NEC	Other anomalies of larynx, trachea, and bronchus	36
1563	V148	Hx-drug allergy NEC	Personal history of allergy to other specified medicinal agents	36
1564	34489	Oth spcf paralytic synd	Other specified paralytic syndrome	36
1565	29572	Schizoaffective dis-chr	Schizoaffective disorder, chronic	36
1566	56731	Psoas muscle abscess	Psoas muscle abscess	35
1567	30591	Drug abuse NEC-contin	Other, mixed, or unspecified drug abuse, continuous	35
1568	81209	Fx upper humerus NEC-cl	Other closed fracture of upper end of humerus	35
1569	3668	Cataract NEC	Other cataract	35
1570	43301	Ocl bslr art w infrct	Occlusion and stenosis of basilar artery with cerebral infarction	35
1571	2114	Benign neopl rectum/anus	Benign neoplasm of rectum and anal canal	35
1572	86402	Liver laceration, minor	Injury to liver without mention of open wound into cavity, laceration, minor	35
1573	5306	Acq esophag diverticulum	Diverticulum of esophagus, acquired	35
1574	30420	Cocaine depend-unspec	Cocaine dependence, unspecified	35
1575	22801	Hemangioma skin	Hemangioma of skin and subcutaneous tissue	35
1576	5758	Dis of gallbladder NEC	Other specified disorders of gallbladder	35
1577	57512	Acte & chr cholecystitis	Acute and chronic cholecystitis	35
1578	7197	Difficulty in walking	Difficulty in walking	35
1579	E8794	Abn react-fluid aspirat	Aspiration of fluid as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure	35
1580	5739	Liver disorder NOS	Unspecified disorder of liver	35
1581	38611	Benign parxysmal vertigo	Benign paroxysmal positional vertigo	35
1582	2631	Malnutrition mild degree	Malnutrition of mild degree	35
1583	1624	Mal neo middle lobe lung	Malignant neoplasm of middle lobe, bronchus or lung	35
1584	E9353	Adv eff salicylates	Salicylates causing adverse effects in therapeutic use	35
1585	56789	Peritonitis NEC	Other specified peritonitis	34
1586	37941	Anisocoria	Anisocoria	34
1587	6191	Digest-genit fistul, fem	Digestive-genital tract fistula, female	34
1588	E887	Fracture, cause NOS	Fracture, cause unspecified	34
1589	4352	Subclavian steal syndrom	Subclavian steal syndrome	34
1590	1968	Mal neo lymph node-mult	Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites	34
1591	78099	Other general symptoms	Other general symptoms	34
1592	462	Acute pharyngitis	Acute pharyngitis	34
1593	V4576	Acq absence of lung	Acquired absence of organ, lung	34
1594	78459	Speech disturbance NEC	Other speech disturbance	34
1595	E9390	Adv eff antidepressants	Antidepressants causing adverse effects in therapeutic use	34
1596	44322	Dissection iliac artery	Dissection of iliac artery	34
1597	8220	Fracture patella-closed	Closed fracture of patella	34
1598	5583	Allrgic gastro & colitis	Allergic gastroenteritis and colitis	34
1599	82123	Supracondyl fx femur-cl	Closed supracondylar fracture of femur	34
1600	40491	Hyp ht/kd NOS I-IV w hf	Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified	34
1601	5523	Diaphragm hernia w obstr	Diaphragmatic hernia with obstruction	34
1602	5379	Gastroduodenal dis NOS	Unspecified disorder of stomach and duodenum	34
1603	81221	Fx humerus shaft-closed	Closed fracture of shaft of humerus	34
1604	2511	Oth spcf hypoglycemia	Other specified hypoglycemia	34
1605	449	Septic arterial embolism	Septic arterial embolism	34
1606	52800	Stomatitis/mucositis NOS	Stomatitis and mucositis, unspecified	34
1607	3490	Lumbar puncture reaction	Reaction to spinal or lumbar puncture	33
1608	6146	Fem pelvic periton adhes	Pelvic peritoneal adhesions, female (postoperative) (postinfection)	33
1609	29041	Vasc dementia w delirium	Vascular dementia, with delirium	33
1610	27952	Chronc graft-vs-host dis	Chronic graft-versus-host disease	33
1611	8738	Open wound of head NEC	Other and unspecified open wound of head without mention of complication	33
1612	3330	Degen basal ganglia NEC	Other degenerative diseases of the basal ganglia	33
1613	8748	Open wound of neck NEC	Open wound of other and unspecified parts of neck, without mention of complication	33
1614	76621	Post-term infant	Post-term infant	33
1615	2860	Cong factor viii diord	Congenital factor VIII disorder	33
1616	29212	Drug psy dis w hallucin	Drug-induced psychotic disorder with hallucinations	33
1617	33399	Extrapyramidal dis NEC	Other extrapyramidal diseases and abnormal movement disorders	33
1618	4560	Esophag varices w bleed	Esophageal varices with bleeding	33
1619	25071	DMI circ nt st uncntrld	Diabetes with peripheral circulatory disorders, type I [juvenile type], not stated as uncontrolled	33
1620	E916	Struck by falling object	Struck accidentally by falling object	33
1621	1889	Malig neo bladder NOS	Malignant neoplasm of bladder, part unspecified	33
1622	76405	Lt-for-dates 1250-1499g	"""Light-for-dates""without mention of fetal malnutrition, 1,250- 1,499 grams"	33
1623	7801	Hallucinations	Hallucinations	33
1624	71696	Arthropathy NOS-l/leg	Arthropathy, unspecified, lower leg	32
1625	78721	Dysphagia, oral phase	Dysphagia, oral phase	32
1626	0542	Herpetic gingivostomat	Herpetic gingivostomatitis	32
1627	2452	Chr lymphocyt thyroidit	Chronic lymphocytic thyroiditis	32
1628	92232	Buttock contusion	Contusion of buttock	32
1629	79093	Elvtd prstate spcf antgn	Elevated prostate specific antigen [PSA]	32
1630	57149	Chronic hepatitis NEC	Other chronic hepatitis	32
1631	5678			32
1632	7778	Perinat GI sys dis NEC	Other specified perinatal disorders of digestive system	32
1633	7452	Tetralogy of fallot	Tetralogy of fallot	32
1634	5552	Reg enterit sm/lg intest	Regional enteritis of small intestine with large intestine	32
1635	72885	Spasm of muscle	Spasm of muscle	32
1636	5550	Reg enteritis, sm intest	Regional enteritis of small intestine	32
1637	59972	Microscopic hematuria	Microscopic hematuria	32
1638	7423	Congenital hydrocephalus	Congenital hydrocephalus	32
1639	25020	DMII hprsm nt st uncntrl	Diabetes with hyperosmolarity, type II or unspecified type, not stated as uncontrolled	32
1640	49300	Extrinsic asthma NOS	Extrinsic asthma, unspecified	32
1641	9212	Contusion orbital tissue	Contusion of orbital tissues	32
1642	28989	Blood diseases NEC	Other specified diseases of blood and blood-forming organs	31
1643	7767	Neonatal neutropenia	Transient neonatal neutropenia	31
1644	41404	Cor ath artry bypas grft	Coronary atherosclerosis of artery bypass graft	31
1645	86501	Spleen hematoma-closed	Injury to spleen without mention of open wound into cavity, hematoma without rupture of capsule	31
1646	7244	Lumbosacral neuritis NOS	Thoracic or lumbosacral neuritis or radiculitis, unspecified	31
1647	22809	Hemangioma NEC	Hemangioma of other sites	31
1648	37851	Partial third nerv palsy	Third or oculomotor nerve palsy, partial	31
1649	80843	Pelv fx-clos/pelv disrup	Multiple closed pelvic fractures with disruption of pelvic circle	31
1650	3599	Myopathy NOS	Myopathy, unspecified	31
1651	605	Redun prepuce & phimosis	Redundant prepuce and phimosis	31
1652	78703	Vomiting alone	Vomiting alone	31
1653	96502	Poisoning-methadone	Poisoning by methadone	31
1654	5881	Nephrogen diabetes insip	Nephrogenic diabetes insipidus	31
1655	25072	DMII circ uncntrld	Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled	31
1656	86504	Spleen disruption-clos	Injury to spleen without mention of open wound into cavity, massive parenchymal disruption	31
1657	87320	Open wound of nose NOS	Open wound of nose, unspecified site, without mention of complication	31
1658	86403	Liver laceration, mod	Injury to liver without mention of open wound into cavity, laceration, moderate	31
1659	V1000	Hx of GI malignancy NOS	Personal history of malignant neoplasm of gastrointestinal tract, unspecified	31
1660	49391	Asthma w status asthmat	Asthma, unspecified type, with status asthmaticus	31
1661	1539	Malignant neo colon NOS	Malignant neoplasm of colon, unspecified site	31
1662	59389	Renal & ureteral dis NEC	Other specified disorders of kidney and ureter	31
1663	9726	Pois-antihyperten agent	Poisoning by other antihypertensive agents	31
1664	V5413	Aftrcre traumatic fx hip	Aftercare for healing traumatic fracture of hip	31
1665	7790	Convulsions in newborn	Convulsions in newborn	31
1666	77210	NB intraven hem NOS	Intraventricular hemorrhage unspecified grade	31
1667	2863	Cong def clot factor NEC	Congenital deficiency of other clotting factors	31
1668	7818	Neurologic neglect syndr	Neurologic neglect syndrome	31
1669	1538	Malignant neo colon NEC	Malignant neoplasm of other specified sites of large intestine	31
1670	99989	Transfusion reaction NEC	Other transfusion reaction	31
1671	33812	Acute post-thoracot pain	Acute post-thoracotomy pain	31
1672	99791	Surg comp - hypertension	Complications affecting other specified body systems, not elsewhere classified, hypertension	31
1673	9181	Superficial inj cornea	Superficial injury of cornea	30
1674	7048	Hair diseases NEC	Other specified diseases of hair and hair follicles	30
1675	56984	Angio intes w/o hmrhg	Angiodysplasia of intestine (without mention of hemorrhage)	30
1676	56213	Dvrtcli colon w hmrhg	Diverticulitis of colon with hemorrhage	30
1677	56200	Dvrtclo sml int w/o hmrg	Diverticulosis of small intestine (without mention of hemorrhage)	30
1678	9983			30
1679	99686	Compl pancreas transplnt	Complications of transplanted pancreas	30
1680	2375	Unc beh neo brain/spinal	Neoplasm of uncertain behavior of brain and spinal cord	30
1681	8470	Sprain of neck	Sprain of neck	30
1682	7990			30
1683	9651	Poisoning-salicylates	Poisoning by salicylates	30
1684	99676	Comp-genitourin dev/grft	Other complications due to genitourinary device, implant, and graft	30
1685	9190	Abrasion NEC	Abrasion or friction burn of other, multiple, and unspecified sites, without mention of infection	30
1686	7764	Polycythemia neonatorum	Polycythemia neonatorum	30
1687	71101	Pyogen arthritis-shlder	Pyogenic arthritis, shoulder region	30
1688	3099	Adjustment reaction NOS	Unspecified adjustment reaction	30
1689	5950	Acute cystitis	Acute cystitis	30
1690	7313	Major osseous defects	Major osseous defects	30
1691	6262	Excessive menstruation	Excessive or frequent menstruation	30
1692	3940	Mitral stenosis	Mitral stenosis	30
1693	78839	Oth urinry incontinence	Other urinary incontinence	30
1694	43490	Crbl art oc NOS wo infrc	Cerebral artery occlusion, unspecified without mention of cerebral infarction	30
1695	88100	Open wound of forearm	Open wound of forearm, without mention of complication	30
1696	1534	Malignant neoplasm cecum	Malignant neoplasm of cecum	30
1697	E9317	Adv eff antiviral drugs	Antiviral drugs causing adverse effects in therapeutic use	30
1698	5304	Perforation of esophagus	Perforation of esophagus	30
1699	71105	Pyogen arthritis-pelvis	Pyogenic arthritis, pelvic region and thigh	30
1700	61610	Vaginitis NOS	Vaginitis and vulvovaginitis, unspecified	30
1701	53012	Acute esophagitis	Acute esophagitis	30
1702	43819	Late ef-spch/lang df NEC	Late effects of cerebrovascular disease, other speech and language deficits	30
1703	45385	Ac embl subclav veins	Acute venous embolism and thrombosis of subclavian veins	30
1704	20501	Act myl leuk w rmsion	Acute myeloid leukemia, in remission	30
1705	27788	Tumor lysis syndrome	Tumor lysis syndrome	30
1706	7469	Cong heart anomaly NOS	Unspecified congenital anomaly of heart	30
1707	V6442	Thoracoscop conv to open	Thoracoscopic surgical procedure converted to open procedure	29
1708	85305	Brain hem NEC-deep coma	Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level	29
1709	36816	Psychophysic visual dist	Psychophysical visual disturbances	29
1710	8620	Diaphragm injury-closed	Injury to diaphragm, without mention of open wound into cavity	29
1711	41012	AMI anterior wall,subseq	Acute myocardial infarction of other anterior wall, subsequent episode of care	29
1712	45384	Ac emblsm axillary veins	Acute venous embolism and thrombosis of axillary veins	29
1713	85302	Brain hem NEC-brief coma	Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with brief [less than one hour] loss of consciousness	29
1714	2559	Adrenal disorder NOS	Unspecified disorder of adrenal glands	29
1715	42610	Atriovent block NOS	Atrioventricular block, unspecified	29
1716	99665	React-oth genitourin dev	Infection and inflammatory reaction due to other genitourinary device, implant, and graft	29
1717	56738	Retroperiton abscess NEC	Other retroperitoneal abscess	29
1718	75982	Marfan syndrome	Marfan syndrome	29
1719	4470	Acq arterioven fistula	Arteriovenous fistula, acquired	29
1720	4257	Metabolic cardiomyopathy	Nutritional and metabolic cardiomyopathy	29
1721	7660	Exceptionally large baby	Exceptionally large baby	29
1722	0479	Viral meningitis NOS	Unspecified viral meningitis	29
1723	53011	Reflux esophagitis	Reflux esophagitis	29
1724	48284	Legionnaires' disease	Pneumonia due to Legionnaires' disease	29
1725	86415	Liver lacerat unspcf opn	Injury to liver with open wound into cavity, laceration, unspecified	29
1726	V0382	Nd vac strptcs pneumni b	Other specified vaccinations against streptococcus pneumoniae [pneumococcus]	29
1727	81109	Fx scapula NEC-closed	Closed fracture of scapula, other	29
1728	6084	Male gen inflam dis NEC	Other inflammatory disorders of male genital organs	29
1729	9130	Abrasion forearm	Abrasion or friction burn of elbow, forearm, and wrist, without mention of infection	29
1730	7881	Dysuria	Dysuria	29
1731	30410	Sed,hyp,anxiolyt dep-NOS	Sedative, hypnotic or anxiolytic dependence, unspecified	29
1732	2890	Secondary polycythemia	Polycythemia, secondary	29
1733	34591	Epilepsy NOS w intr epil	Epilepsy, unspecified, with intractable epilepsy	29
1734	28319	Oth nonauto hem anemia	Other non-autoimmune hemolytic anemias	29
1735	80620	T1-t6 fx-cl/cord inj NOS	Closed fracture of T1-T6 level with unspecified spinal cord injury	28
1736	30502	Alcohol abuse-episodic	Alcohol abuse, episodic	28
1737	1509	Mal neo esophagus NOS	Malignant neoplasm of esophagus, unspecified site	28
1738	7671			28
1739	7630	Breech del/extrac aff NB	Breech delivery and extraction affecting fetus or newborn	28
1740	34570	Epil par cont w/o int ep	Epilepsia partialis continua, without mention of intractable epilepsy	28
1741	80220	Mandible fx NOS-closed	Closed fracture of mandible, unspecified site	28
1742	1105	Dermatophytosis of body	Dermatophytosis of the body	28
1743	9010	Injury thoracic aorta	Injury to thoracic aorta	28
1744	9221	Contusion of chest wall	Contusion of chest wall	28
1745	4358	Trans cereb ischemia NEC	Other specified transient cerebral ischemias	28
1746	60883	Male gen vascul dis NEC	Vascular disorders of male genital organs	28
1747	30411	Sed,hyp,anxiolyt dep-con	Sedative, hypnotic or anxiolytic dependence, continuous	28
1748	61172	Lump or mass in breast	Lump or mass in breast	28
1749	82382	Fx tibia w fibula NOS-cl	Closed fracture of unspecified part of fibula with tibia	28
1750	E8846	Fall from commode	Accidental fall from commode	28
1751	8911	Open wnd knee/leg-compl	Open wound of knee, leg [except thigh], and ankle, complicated	28
1752	41042	AMI inferior wall,subseq	Acute myocardial infarction of other inferior wall, subsequent episode of care	28
1753	4380	Late ef CV dis-cognf def	Late effects of cerebrovascular disease, cognitive deficits	28
1754	81601	Fx mid/prx phal, hand-cl	Closed fracture of middle or proximal phalanx or phalanges of hand	28
1755	3489	Brain condition NOS	Unspecified condition of brain	28
1756	20020	Brkt tmr unsp xtrndl org	Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites	28
1757	80106	Cl skul base fx-coma NOS	Closed fracture of base of skull without mention of intra cranial injury, with loss of consciousness of unspecified duration	28
1758	E9010	Excessive cold: weather	Accident due to excessive cold due to weather conditions	28
1759	5819	Nephrotic syndrome NOS	Nephrotic syndrome with unspecified pathological lesion in kidney	28
1760	5829	Chronic nephritis NOS	Chronic glomerulonephritis with unspecified pathological lesion in kidney	28
1761	75501	Polydactyly, fingers	Polydactyly of fingers	28
1762	5400	Ac append w peritonitis	Acute appendicitis with generalized peritonitis	28
1763	42689	Conduction disorder NEC	Other specified conduction disorders	28
1764	3829	Otitis media NOS	Unspecified otitis media	28
1765	53641	Gastrostomy infection	Infection of gastrostomy	28
1766	87340	Open wound of face NOS	Open wound of face, unspecified site, without mention of complication	28
1767	87341	Open wound of cheek	Open wound of cheek, without mention of complication	28
1768	4472	Rupture of artery	Rupture of artery	28
1769	5933	Stricture of ureter	Stricture or kinking of ureter	28
1770	2733	Macroglobulinemia	Macroglobulinemia	28
1771	5120	Spont tens pneumothorax	Spontaneous tension pneumothorax	28
1772	81003	Fx clavicl, acrom end-cl	Closed fracture of acromial end of clavicle	28
1773	30553	Opioid abuse-in remiss	Opioid abuse, in remission	28
1774	8064	Cl lumbar fx w cord inj	Closed fracture of lumbar spine with spinal cord injury	28
1775	45989	Circulatory disease NEC	Other specified disorders of circulatory system	28
1776	2555	Adrenal hypofunction NEC	Other adrenal hypofunction	28
1777	87364	Opn wnd tongue/mouth flr	Open wound of tongue and floor of mouth, without mention of complication	27
1778	V0981	Inf mcrg rstn oth drg ml	Infection with microorganisms with resistance to multiple drugs	27
1779	9964			27
1780	74190	Spina bifida	Spina bifida without mention of hydrocephalus, unspecified region	27
1781	1518	Malig neopl stomach NEC	Malignant neoplasm of other specified sites of stomach	27
1782	75310	Cystic kidney diseas NOS	Cystic kidney disease, unspecified	27
1783	30570	Amphetamine abuse-unspec	Amphetamine or related acting sympathomimetic abuse, unspecified	27
1784	29633	Recur depr psych-severe	Major depressive affective disorder, recurrent episode, severe, without mention of psychotic behavior	27
1785	70711	Ulcer of thigh	Ulcer of thigh	27
1786	E9384	Adv eff gen anes NEC/NOS	Other and unspecified general anesthetics causing adverse effects in therapeutic use	27
1787	03844	Serratia septicemia	Septicemia due to serratia	27
1788	05479	H simplex complicat NEC	Herpes simplex with other specified complications	27
1789	1820	Malig neo corpus uteri	Malignant neoplasm of corpus uteri, except isthmus	27
1790	E9392	Adv eff butyrophen tranq	Butyrophenone-based tranquilizers causing adverse effects in therapeutic use	27
1791	8250	Fracture calcaneus-close	Fracture of calcaneus, closed	27
1792	72291	Disc dis NEC/NOS-cerv	Other and unspecified disc disorder, cervical region	27
1793	6954	Lupus erythematosus	Lupus erythematosus	27
1794	7224	Cervical disc degen	Degeneration of cervical intervertebral disc	27
1795	30029	Isolated/spec phobia NEC	Other isolated or specific phobias	27
1796	5283	Cellulitis/abscess mouth	Cellulitis and abscess of oral soft tissues	27
1797	99701	Surg complication - cns	Central nervous system complication	27
1798	74783	Persistent fetal circ	Persistent fetal circulation	27
1799	5111	Bact pleur/effus not TB	Pleurisy with effusion, with mention of a bacterial cause other than tuberculosis	27
1800	74710	Coarctation of aorta	Coarctation of aorta (preductal) (postductal)	27
1801	4387	Disturbances of vision	Late effects of cerebrovascular disease, disturbances of vision	27
1802	2448	Acquired hypothyroid NEC	Other specified acquired hypothyroidism	27
1803	5880	Renal osteodystrophy	Renal osteodystrophy	27
1804	86401	Liver hematoma/contusion	Injury to liver without mention of open wound into cavity, hematoma and contusion	27
1805	05410	Genital herpes NOS	Genital herpes, unspecified	27
1806	3203	Staphylococc meningitis	Staphylococcal meningitis	27
1807	80026	Cl skull vlt fx-coma NOS	Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration	26
1808	71947	Joint pain-ankle	Pain in joint, ankle and foot	26
1809	88101	Open wound of elbow	Open wound of elbow, without mention of complication	26
1810	76406	Lt-for-dates 1500-1749g	"""Light-for-dates"" without mention of fetal malnutrition, 1,500- 1,749 grams"	26
1811	2864	Von willebrand's disease	Von Willebrand's disease	26
1812	0090	Infectious enteritis NOS	Infectious colitis, enteritis, and gastroenteritis	26
1813	4599	Circulatory disease NOS	Unspecified circulatory system disorder	26
1814	30521	Cannabis abuse-contin	Cannabis abuse, continuous	26
1815	3950	Rheumat aortic stenosis	Rheumatic aortic stenosis	26
1816	2521	Hypoparathyroidism	Hypoparathyroidism	26
1817	2732	Paraproteinemia NEC	Other paraproteinemias	26
1818	1560	Malig neo gallbladder	Malignant neoplasm of gallbladder	26
1819	30593	Drug abuse NEC-in remiss	Other, mixed, or unspecified drug abuse, in remission	26
1820	V1202	Prsnl hst poliomyelitis	Personal history of poliomyelitis	26
1821	5258	Dental disorder NEC	Other specified disorders of the teeth and supporting structures	26
1822	5961	Intestinovesical fistula	Intestinovesical fistula	26
1823	7080	Allergic urticaria	Allergic urticaria	26
1824	E9804	Undet pois-med agnt NEC	Poisoning by other specified drugs and medicinal substances, undetermined whether accidentally or purposely inflicted	26
1825	04100	Streptococcus unspecf	Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, unspecified	26
1826	5691	Rectal prolapse	Rectal prolapse	26
1827	7234	Brachial neuritis NOS	Brachial neuritis or radiculitis NOS	26
1828	E8192	Traffic acc NOS-motcycl	Motor vehicle traffic accident of unspecified nature injuring motorcyclist	26
1829	73739	Scoliosis NEC	Other kyphoscoliosis and scoliosis	26
1830	V4962	Status amput oth fingers	Other finger(s) amputation status	26
1831	78442	Dysphonia	Dysphonia	26
1832	42761	Atrial premature beats	Supraventricular premature beats	26
1833	40493	Hyp ht/kd NOS st V w hf	Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease	26
1834	3369	Spinal cord disease NOS	Unspecified disease of spinal cord	26
1835	30392	Alcoh dep NEC/NOS-episod	Other and unspecified alcohol dependence, episodic	26
1836	3209	Bacterial meningitis NOS	Meningitis due to unspecified bacterium	26
1837	5551	Reg enteritis, lg intest	Regional enteritis of large intestine	26
1838	32082	Mningts gram-neg bct NEC	Meningitis due to gram-negative bacteria, not elsewhere classified	26
1839	3102	Postconcussion syndrome	Postconcussion syndrome	26
1840	4411	Ruptur thoracic aneurysm	Thoracic aneurysm, ruptured	26
1841	56961	Colosty/enterost infectn	Infection of colostomy or enterostomy	25
1842	77982	Neonatal tachycardia	Neonatal tachycardia	25
1843	E9299	Late eff accident NOS	Late effects of unspecified accident	25
1844	E9298	Late eff accident NEC	Late effects of other accidents	25
1845	64421	Early onset delivery-del	Early onset of delivery, delivered, with or without mention of antepartum condition	25
1846	8830	Open wound of finger	Open wound of finger(s), without mention of complication	25
1847	3017	Antisocial personality	Antisocial personality disorder	25
1848	6828	Cellulitis, site NEC	Cellulitis and abscess of other specified sites	25
1849	59960	Urinary obstruction NOS	Urinary obstruction, unspecified	25
1850	04082	Toxic shock syndrome	Toxic shock syndrome	25
1851	8700	Lac eyelid skn/perioculr	Laceration of skin of eyelid and periocular area	25
1852	86601	Kidney hematoma-closed	Injury to kidney without mention of open wound into cavity, hematoma without rupture of capsule	25
1853	3181	Sev intellect disability	Severe intellectual disabilities	25
1854	86404	Liver laceration, major	Injury to liver without mention of open wound into cavity, laceration, major	25
1855	9623	Poison-insulin/antidiab	Poisoning by insulins and antidiabetic agents	25
1856	57431	Choledochlith/ac gb-obst	Calculus of bile duct with acute cholecystitis, with obstruction	25
1857	83500	Dislocat hip NOS-closed	Closed dislocation of hip, unspecified site	25
1858	34460	Cauda equina synd NOS	Cauda equina syndrome without mention of neurogenic bladder	25
1859	2788	Other hyperalimentation	Other hyperalimentation	25
1860	34931	Accid punc/op lac dura	Accidental puncture or laceration of dura during a procedure	25
1861	5521	Umbilical hernia w obstr	Umbilical hernia with obstruction	25
1862	5374	Gastric/duodenal fistula	Fistula of stomach or duodenum	25
1863	53530	Alchl gastrtis w/o hmrhg	Alcoholic gastritis, without mention of hemorrhage	25
1864	75679	Congn anoml abd wall NEC	Other congenital anomalies of abdominal wall	25
1865	V1044	Hx-female genit malg NEC	Personal history of malignant neoplasm of other female genital organs	25
1866	2710	Glycogenosis	Glycogenosis	25
1867	37200	Acute conjunctivitis NOS	Acute conjunctivitis, unspecified	25
1868	2651	Thiamine defic NEC/NOS	Other and unspecified manifestations of thiamine deficiency	25
1869	V5812	Immunotherapy encounter	Encounter for antineoplastic immunotherapy	25
1870	80021	Cl skull vlt fx w/o coma	Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness	25
1871	V1001	Hx of tongue malignancy	Personal history of malignant neoplasm of tongue	25
1872	V0991	Infc mcrg drgrst mult	Infection with drug-resistant microorganisms, unspecified, with multiple drug resistance	25
1873	5081	Chr pul manif d/t radiat	Chronic and other pulmonary manifestations due to radiation	25
1874	E9650	Assault-handgun	Assault by handgun	25
1875	22802	Hemangioma intracranial	Hemangioma of intracranial structures	25
1876	V5863	Lng use antiplte/thrmbtc	Long-term (current) use of antiplatelet/antithrombotic	25
1877	220	Benign neoplasm ovary	Benign neoplasm of ovary	25
1878	E9356	Adv eff antirheumatics	Antirheumatics [antiphlogistics] causing adverse effects in therapeutic use	25
1879	E8496	Accident in public bldg	Accidents occurring in public building	25
1880	1965	Mal neo lymph-inguin/leg	Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb	25
1881	43822	Late ef-hemiplga non-dom	Late effects of cerebrovascular disease, hemiplegia affecting nondominant side	25
1882	7795	NB drug withdrawal syndr	Drug withdrawal syndrome in newborn	25
1883	34280	Ot sp hmiplga unspf side	Other specified hemiplegia and hemiparesis affecting unspecified side	24
1884	20288	Lymphomas NEC mult	Other malignant lymphomas, lymph nodes of multiple sites	24
1885	82111	Fx femur shaft-open	Open fracture of shaft of femur	24
1886	9340	Foreign body in trachea	Foreign body in trachea	24
1887	30403	Opioid dependence-remiss	Opioid type dependence, in remission	24
1888	34680	Othr migrne wo ntrc mgrn	Other forms of migraine, without mention of intractable migraine without mention of status migrainosus	24
1889	78639	Hemoptysis NEC	Other hemoptysis	24
1890	8750	Open wound of chest	Open wound of chest (wall), without mention of complication	24
1891	E8493	Acc on industr premises	Accidents occurring in industrial places and premises	24
1892	7099	Skin disorder NOS	Unspecified disorder of skin and subcutaneous tissue	24
1893	92411	Contusion of knee	Contusion of knee	24
1894	V168	Family hx-malignancy NEC	Family history of other specified malignant neoplasm	24
1895	9678	Pois-sedative/hypnot NEC	Poisoning by other sedatives and hypnotics	24
1896	4267	Anomalous av excitation	Anomalous atrioventricular excitation	24
1897	92410	Contusion of lower leg	Contusion of lower leg	24
1898	99851	Infected postop seroma	Infected postoperative seroma	24
1899	86801	Adrenal gland injury-cl	Injury to other intra-abdominal organs without mention of open wound into cavity, adrenal gland	24
1900	E9654	Assault-firearm NEC	Assault by other and unspecified firearm	24
1901	5754	Perforation gallbladder	Perforation of gallbladder	24
1902	5713	Alcohol liver damage NOS	Alcoholic liver damage, unspecified	24
1903	V461			24
1904	4474	Celiac art compress syn	Celiac artery compression syndrome	24
1905	E9319	Adv eff antinfct NEC/NOS	Other and unspecified anti-infectives causing adverse effects in therapeutic use	24
1906	99939	Infect fol infus/inj/vac	Infection following other infusion, injection, transfusion, or vaccination	24
1907	7596	Hamartoses NEC	Other hamartoses, not elsewhere classified	24
1908	36570	Glaucoma stage NOS	Glaucoma stage, unspecified	24
1909	75732	Vascular hamartomas	Vascular hamartomas	24
1910	V632	Wait adm to oth facility	Person awaiting admission to adequate facility elsewhere	24
1911	V5862	Long-term use antibiotic	Long-term (current) use of antibiotics	24
1912	6271	Postmenopausal bleeding	Postmenopausal bleeding	24
1913	45351	Ch DVT/embl prox low ext	Chronic venous embolism and thrombosis of deep vessels of proximal lower extremity	24
1914	81200	Fx up end humerus NOS-cl	Closed fracture of unspecified part of upper end of humerus	24
1915	59582	Irradiation cystitis	Irradiation cystitis	24
1916	23879	Lymph/hematpoitc tis NEC	Other lymphatic and hematopoietic tissues	24
1917	5798	Intest malabsorption NEC	Other specified intestinal malabsorption	24
1918	8260	Fx phalanx, foot-closed	Closed fracture of one or more phalanges of foot	24
1919	76513	Preterm NEC 750-999g	Other preterm infants, 750-999 grams	24
